year,building-type,benchmark-target,building-type-shorthand,unit,construction-delivery-type
2038,Office - General,51.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2039,Office - General,48.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2040,Office - General,45.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2050,Office - General,45.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2025,Office - General,107.0,Off. Gen. (NIA),kWh/m²NIA/yr,newbuild
2026,Office - General,104.0,Off. Gen. (NIA),kWh/m²NIA/yr,newbuild
2027,Office - General,100.0,Off. Gen. (NIA),kWh/m²NIA/yr,newbuild
2028,Office - General,97.0,Off. Gen. (NIA),kWh/m²NIA/yr,newbuild
2029,Office - General,94.0,Off. Gen. (NIA),kWh/m²NIA/yr,newbuild
2030,Office - General,90.0,Off. Gen. (NIA),kWh/m²NIA/yr,newbuild
2031,Office - General,87.0,Off. Gen. (NIA),kWh/m²NIA/yr,newbuild
2032,Office - General,84.0,Off. Gen. (NIA),kWh/m²NIA/yr,newbuild
2033,Office - General,80.0,Off. Gen. (NIA),kWh/m²NIA/yr,newbuild
2034,Office - General,77.0,Off. Gen. (NIA),kWh/m²NIA/yr,newbuild
2035,Office - General,74.0,Off. Gen. (NIA),kWh/m²NIA/yr,newbuild
2036,Office - General,70.0,Off. Gen. (NIA),kWh/m²NIA/yr,newbuild
2037,Office - General,67.0,Off. Gen. (NIA),kWh/m²NIA/yr,newbuild
2038,Office - General,64.0,Off. Gen. (NIA),kWh/m²NIA/yr,newbuild
2039,Office - General,60.0,Off. Gen. (NIA),kWh/m²NIA/yr,newbuild
2040,Office - General,57.0,Off. Gen. (NIA),kWh/m²NIA/yr,newbuild
2050,Office - General,57.0,Off. Gen. (NIA),kWh/m²NIA/yr,newbuild
2025,Office - Call Centre,127.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2026,Office - Call Centre,123.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2027,Office - Call Centre,119.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2028,Office - Call Centre,115.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2029,Office - Call Centre,111.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2030,Office - Call Centre,106.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2031,Office - Call Centre,102.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2032,Office - Call Centre,98.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2033,Office - Call Centre,94.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2034,Office - Call Centre,90.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2035,Office - Call Centre,85.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2036,Office - Call Centre,81.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2037,Office - Call Centre,77.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2038,Office - Call Centre,73.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2039,Office - Call Centre,69.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2040,Office - Call Centre,64.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2050,Office - Call Centre,64.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2025,Office - Call Centre,159.0,Call Cen. (NIA),kWh/m²NIA/yr,newbuild
2026,Office - Call Centre,154.0,Call Cen. (NIA),kWh/m²NIA/yr,newbuild
2027,Office - Call Centre,149.0,Call Cen. (NIA),kWh/m²NIA/yr,newbuild
2028,Office - Call Centre,144.0,Call Cen. (NIA),kWh/m²NIA/yr,newbuild
2029,Office - Call Centre,139.0,Call Cen. (NIA),kWh/m²NIA/yr,newbuild
2030,Office - Call Centre,133.0,Call Cen. (NIA),kWh/m²NIA/yr,newbuild
2031,Office - Call Centre,128.0,Call Cen. (NIA),kWh/m²NIA/yr,newbuild
2032,Office - Call Centre,123.0,Call Cen. (NIA),kWh/m²NIA/yr,newbuild
2033,Office - Call Centre,118.0,Call Cen. (NIA),kWh/m²NIA/yr,newbuild
2034,Office - Call Centre,113.0,Call Cen. (NIA),kWh/m²NIA/yr,newbuild
2035,Office - Call Centre,107.0,Call Cen. (NIA),kWh/m²NIA/yr,newbuild
2036,Office - Call Centre,102.0,Call Cen. (NIA),kWh/m²NIA/yr,newbuild
2037,Office - Call Centre,97.0,Call Cen. (NIA),kWh/m²NIA/yr,newbuild
2038,Office - Call Centre,92.0,Call Cen. (NIA),kWh/m²NIA/yr,newbuild
2039,Office - Call Centre,87.0,Call Cen. (NIA),kWh/m²NIA/yr,newbuild
2040,Office - Call Centre,80.0,Call Cen. (NIA),kWh/m²NIA/yr,newbuild
2050,Office - Call Centre,80.0,Call Cen. (NIA),kWh/m²NIA/yr,newbuild
2025,Office - Trading Floors,147.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2026,Office - Trading Floors,143.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2027,Office - Trading Floors,138.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2028,Office - Trading Floors,133.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2029,Office - Trading Floors,128.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2030,Office - Trading Floors,123.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2031,Office - Trading Floors,118.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2032,Office - Trading Floors,113.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2033,Office - Trading Floors,109.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2034,Office - Trading Floors,104.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2035,Office - Trading Floors,99.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2036,Office - Trading Floors,94.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2037,Office - Trading Floors,89.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2038,Office - Trading Floors,84.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2039,Office - Trading Floors,79.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2040,Office - Trading Floors,74.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2050,Office - Trading Floors,74.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2025,Office - Trading Floors,184.0,Off. Tr. Fl. (NIA),kWh/m²NIA/yr,newbuild
2026,Office - Trading Floors,179.0,Off. Tr. Fl. (NIA),kWh/m²NIA/yr,newbuild
2027,Office - Trading Floors,173.0,Off. Tr. Fl. (NIA),kWh/m²NIA/yr,newbuild
2028,Office - Trading Floors,167.0,Off. Tr. Fl. (NIA),kWh/m²NIA/yr,newbuild
2029,Office - Trading Floors,160.0,Off. Tr. Fl. (NIA),kWh/m²NIA/yr,newbuild
2030,Office - Trading Floors,154.0,Off. Tr. Fl. (NIA),kWh/m²NIA/yr,newbuild
2031,Office - Trading Floors,148.0,Off. Tr. Fl. (NIA),kWh/m²NIA/yr,newbuild
2032,Office - Trading Floors,142.0,Off. Tr. Fl. (NIA),kWh/m²NIA/yr,newbuild
2033,Office - Trading Floors,137.0,Off. Tr. Fl. (NIA),kWh/m²NIA/yr,newbuild
2034,Office - Trading Floors,130.0,Off. Tr. Fl. (NIA),kWh/m²NIA/yr,newbuild
2035,Office - Trading Floors,124.0,Off. Tr. Fl. (NIA),kWh/m²NIA/yr,newbuild
2036,Office - Trading Floors,118.0,Off. Tr. Fl. (NIA),kWh/m²NIA/yr,newbuild
2037,Office - Trading Floors,112.0,Off. Tr. Fl. (NIA),kWh/m²NIA/yr,newbuild
2038,Office - Trading Floors,105.0,Off. Tr. Fl. (NIA),kWh/m²NIA/yr,newbuild
2039,Office - Trading Floors,99.0,Off. Tr. Fl. (NIA),kWh/m²NIA/yr,newbuild
2040,Office - Trading Floors,93.0,Off. Tr. Fl. (NIA),kWh/m²NIA/yr,newbuild
